2024-11-24 22:13:05,058 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:44:44,809 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:44:45,254 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:45:06,770 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:45:07,449 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:45:07,896 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:47:12,577 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:47:26,238 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 23:08:33,234 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 23:21:47,129 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 23:21:47,619 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:48:31,905 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:48:41,439 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:48:41,882 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:50:06,587 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:50:15,433 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:50:15,880 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:52:20,299 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:52:55,012 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:53:05,625 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:53:06,075 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:53:42,625 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:53:57,888 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:53:58,381 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:59:11,128 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:59:26,115 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-25 13:59:26,559 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:12:30,512 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:12:45,296 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:12:45,741 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:32:21,402 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:39:53,172 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:40:01,296 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:40:01,741 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:41:14,605 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:44:06,727 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:44:15,558 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:44:15,998 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:45:47,150 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:46:18,855 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:46:26,831 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:46:27,276 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:49:31,918 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:50:16,725 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:50:26,115 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 14:50:26,598 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 16:37:54,225 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 17:52:53,757 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 17:53:50,887 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 17:54:00,574 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 17:54:01,025 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:02:37,283 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:03:03,499 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:03:12,034 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:03:12,478 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:08:29,118 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:08:36,931 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:08:37,375 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:19:48,054 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:19:48,562 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:19:49,006 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:21:09,477 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:22:25,976 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:22:33,137 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 18:22:33,579 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:20:08,060 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:20:15,915 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:20:16,364 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:29:43,965 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:29:56,823 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:29:57,274 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:32:02,861 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:32:47,548 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:33:14,284 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:33:17,128 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:33:17,599 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:34:15,206 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:34:54,354 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:35:34,829 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:35:36,888 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:35:37,358 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:36:16,849 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:36:19,142 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:36:19,612 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:37:20,971 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:37:47,627 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:38:08,656 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-26 20:38:09,107 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
